model_id,revision,filename,file_size,lastCommit,file_format,is_pytorch_zip,fickling_unsafe,fickling_severity,saferpickle_unsafe,saferpickle_suspicious,modelscan_critical,modelscan_high,modelscan_medium,strace_syscalls,hf_protectai_status,hf_jfrog_status,hf_av_status,hf_pickle_status,hf_virustotal_status,answer_labels,memo,evasion
aakashjapi/tmp,3e62c42a7f1acd9d4297ef67970d478b31c2cf35,poc_spawnv_passfds.pkl,181,2025-10-22T18:29:54.000Z,pickle,0,1,,0,0,0,0,0,3,safe,safe,safe,caution,safe,file_system_change,,Alternative Execution Primitives: from multiprocessing.util import spawnv_passfds
aakashjapi/tmp,3e62c42a7f1acd9d4297ef67970d478b31c2cf35,poc_spawnv_ext_autoreg.pkl,225,2025-10-22T18:52:15.000Z,pickle,0,0,,3,0,0,0,0,3,queued,safe,safe,caution,safe,file_system_change,,Uncommon Opcodes: EXT2 Opcode with copyreg.add_extension
achilles1313/test_bin,3a7d6567f8b8998e35a12369dce7367efc6c458d,pytorch_model.bin,231139,2024-11-21T06:48:16.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,8,0,1,0,0,8,unsafe,unsafe,unsafe,unsafe,suspicious,reverse_shell,[dest] 136.243.156.104:27303,
achilles1313/test_pkl,c5b9c09452373e11a693cecf772f4854c82d6409,malicious_model.pkl,82,2024-11-21T06:50:24.000Z,pickle,0,1,,3,0,1,0,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
aisecre/EXP,d27be10c5130b3de0c2ac419340ed1c151ca7dda,pkl/attack.pkl,63,2025-06-04T07:53:13.000Z,pickle,0,1,,3,0,1,0,0,2,queued,unsafe,suspicious,unsafe,safe,command_execution,,
aisecre/EXP,d27be10c5130b3de0c2ac419340ed1c151ca7dda,pkl/initially_noattack_then_attack.pkl,63,2025-06-04T07:57:37.000Z,pickle,0,1,,3,0,1,0,0,2,queued,unsafe,suspicious,unsafe,safe,command_execution,,
aisecre/HS,fb5158955ba8afd02c8754e8df4a02b72b4eac38,zip2pkl.pt,864,2025-11-09T21:16:59.000Z,zip,1,1,Severity.LIKELY_OVERTLY_MALICIOUS,3,0,1,0,0,4,unsafe,unsafe,unsafe,unsafe,unscanned,command_execution,,
aisecre/HS,fb5158955ba8afd02c8754e8df4a02b72b4eac38,tar2pkl.pt,10240,2025-10-27T13:55:47.000Z,tar,0,0,,9,0,0,0,0,2,unsafe,queued,safe,error,safe,command_execution,,Old Format: tar
ankush-new-org/safe-model,e735bc58940dd2f4274d77c0c363dd466270e9ff,model.pkl,167033,2024-04-16T23:41:50.000Z,pickle,0,1,,3,0,1,0,0,5,unsafe,unsafe,suspicious,unsafe,safe,command_execution,cat ~/.aws/secrets,
Ankush-Org-New/safe-model,8b19c5da4215d6dec867ac9486685f9a4b3d743e,model.pkl,167033,2024-04-16T23:25:53.000Z,pickle,0,1,,3,0,1,0,0,5,unsafe,unsafe,suspicious,unsafe,safe,command_execution,cat ~/.aws/secrets,
Ankush-Org-Original/safe-model,3cc26e3c3edbc73ae088276836f61f1586801563,model.pkl,167033,2024-04-16T23:39:41.000Z,pickle,0,1,,3,0,1,0,0,5,unsafe,unsafe,suspicious,unsafe,safe,command_execution,cat ~/.aws/secrets,
Ankush-Organization/safe-model,4f4553e6a473a31aa0ef144b4393c8d841ebc6d9,model.pkl,167033,2024-04-16T23:35:42.000Z,pickle,0,1,,3,0,1,0,0,5,unsafe,unsafe,suspicious,unsafe,safe,command_execution,cat ~/.aws/secrets,
ankushvangari-org2/unsafe_model,fe672b1d12ff3bff8b12a76703c110c95a4e1961,unsafe_model.pkl,167033,2024-03-07T01:22:12.000Z,pickle,0,1,,3,0,1,0,0,5,unsafe,unsafe,suspicious,unsafe,safe,command_execution,cat ~/.aws/secrets,
ankushvangari-org2/unsafe-model,8007e8ccd0bb81c7995d24be6dfa5ecae3006c2e,unsafe_model.pkl,167033,2024-04-05T00:01:22.000Z,pickle,0,1,,3,0,1,0,0,5,unsafe,unsafe,suspicious,unsafe,safe,command_execution,cat ~/.aws/secrets,
anky89/global1,6dcf4f4b98111fcb664b2948046ae788f2d63d44,key_error.pkl,59,2025-11-14T21:53:13.000Z,pickle,0,0,,3,0,0,0,0,4,unsafe,queued,suspicious,error,safe,command_execution,,Scanner-side Parsing Path Exceptions: Scanner-Specific Resolution Exceptions
anky89/global1,6dcf4f4b98111fcb664b2948046ae788f2d63d44,unter_st.pkl,73,2025-11-14T21:52:17.000Z,pickle,0,0,,3,0,0,0,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
anky89/global1,6dcf4f4b98111fcb664b2948046ae788f2d63d44,bytes_conf.pkl,74,2025-11-14T21:49:52.000Z,pickle,0,0,,3,0,0,0,0,2,unsafe,queued,safe,error,safe,command_execution,,Scanner-side Parsing Path Exceptions: Scanner-Specific Resolution Exceptions
